,title,link,description,provider_name,publish_date,news_content_file,symbols
0,"Tesla's California registrations fell 24% in second quarter, dealer data shows",https://www.investing.com/news/stock-market-news/teslas-california-registrations-fell-24-in-second-quarter-dealer-data-shows-3525655," (Reuters) - Registrations of Tesla (NASDAQ:TSLA) cars in California fell 24% in the second quarter, signaling mounting challenges for the electric-vehicle maker, according to a...",Reuters,2024-07-18 17:51:05,1_1721325604551_82.txt,[]
1,"Goldman Sachs names senior dealmakers in reshuffle, memo says",https://www.investing.com/news/stock-market-news/goldman-sachs-names-senior-dealmakers-in-reshuffle-memo-says-3525651," (Refiles to fix typographical error in paragraph 1) LONDON (Reuters) - Goldman Sachs has made a handful of senior leadership appointments within its investment banking team,...",Reuters,2024-07-18 17:46:51,1_1721325605207_963.txt,[]
2,Inmate phone call costs slashed by US agency,https://www.investing.com/news/stock-market-news/inmate-phone-call-costs-slashed-by-us-agency-3525662," By David Shepardson WASHINGTON (Reuters) - Hefty phone bills for inmates in U.S. prisons and jails were slashed by the Federal Communications Commission on Thursday, affecting...",Reuters,2024-07-18 17:46:00,1_1721325605896_880.txt,[]
3,US stocks fall as tech rebound fades; Netflix earnings eyed,https://www.investing.com/news/stock-market-news/us-stock-futures-rise-as-chip-rout-eases-more-earnings-awaited-3524125,"Investing.com-- U.S. stocks fell Thursday, pressured by wild swings as the early-day rebound in tech faded amid an ongoing rotation out of high-flying megacap tech stocks ahead of...",Investing.com,2024-07-18 17:36:46,1_1721325606438_716.txt,[]
4,"Blackstone posts modest Q2 profit jump on private equity, credit gains",https://www.investing.com/news/economy-news/blackstone-posts-modest-q2-profit-jump-on-private-equity-credit-gains-3524717," By Echo Wang NEW YORK (Reuters) -Blackstone said on Thursday its second-quarter distributable earnings rose 3% from a year earlier, as a jump in asset sales in its private equity...",Reuters,2024-07-18 17:32:14,1_1721325607212_97.txt,[]
5,"Buy tech sell-off, Wedbush says",https://www.investing.com/news/stock-market-news/buy-tech-selloff-wedbush-says-432SI-3525640,"Wedbush analysts are urging investors to seize the current tech sell-off as a ""golden buying opportunity,"" despite recent market jitters sparked by former President Trump's...",Investing.com,2024-07-18 17:25:04,1_1721325608005_19.txt,[]
6,"D.R. Horton's home sales forecast, $4 billion buyback send shares to record high",https://www.investing.com/news/economy-news/dr-horton-reports-higher-quarterly-profit-unveils-4-billion-share-buyback-3524620," By Ananta Agarwal (Reuters) -D.R. Horton tightened its annual forecast for home sales and beat Wall Street estimates for quarterly profit on Thursday, as historically low U.S....",Reuters,2024-07-18 17:15:37,1_1721325608750_630.txt,[]
7,First woman to lead Canada's armed forces takes command,https://www.investing.com/news/stock-market-news/first-woman-to-lead-canadas-armed-forces-takes-command-3525626, By Ismail Shakil OTTAWA (Reuters) - General Jennie Carignan took over as Canada's chief of the defense staff on Thursday in a ceremony that made her the first woman to command the...,Reuters,2024-07-18 17:14:15,1_1721325609563_358.txt,[]
8,Trinidad's court reaffirms recognition of ConocoPhillips' claim against Venezuela,https://www.investing.com/news/stock-market-news/trinidads-court-reaffirms-recognition-of-conocophillips-claim-against-venezuela-3525624," (Reuters) - Trinidad and Tobago's High Court on Thursday reaffirmed a decision recognizing U.S. oil producer ConocoPhillips (NYSE:COP)' arbitration claim against Venezuela, which...",Reuters,2024-07-18 17:12:23,1_1721325610211_224.txt,[]
9,US chip stocks volatile after Asian dip with China-US spat in focus,https://www.investing.com/news/stock-market-news/asia-tech-stocks-skid-on-deepening-sinous-chip-war-3524177, By Sinéad Carew and Youn Ah Moon NEW YORK/SINGAPORE (Reuters) - Trading in U.S. chip stocks was choppy on Thursday after a massive sell-off on Wednesday and a tumble in chip...,Reuters,2024-07-18 17:06:33,1_1721325611067_478.txt,[]
10,"CrowdStrike , Palo Alto downgraded at Redburn",https://www.investing.com/news/stock-market-news/crowdstrike--palo-alto-downgraded-at-redburn-432SI-3525591,"Redburn Atlantic analysts downgraded CrowdStrike Holdings Inc. (NASDAQ:CRWD) and Palo Alto Networks (NASDAQ:PANW) in a note Thursday, citing valuation concerns and market...",Investing.com,2024-07-18 17:01:01,1_1721325611694_201.txt,[]
11,Wall Street falls as investors look beyond megacap shares,https://www.investing.com/news/stock-market-news/nasdaq-futures-jump-as-tsmc-results-lift-semiconductor-shares-3524499," By Lisa Pauline Mattackal and Ankika Biswas (Reuters) -Wall Street's major indexes reversed early gains on Thursday after a brief rebound in chip and megacap stocks fizzled out,...",Reuters,2024-07-18 16:45:48,1_1721325612560_482.txt,[]
12,Domino's Pizza warns of slower Q3 sales; shares fall,https://www.investing.com/news/stock-market-news/dominos-pizza-narrowly-misses-quarterly-sales-estimates-on-muted-demand-3524516," By Juveria Tabassum (Reuters) -Domino's Pizza forecast sequentially slower third-quarter comparable sales on Thursday and trimmed its target for new international store openings,...",Reuters,2024-07-18 16:36:52,1_1721325613044_787.txt,[]
13,"Hyundai Motor America to recall nearly 67,000 vehicles in the U.S, NHTSA says",https://www.investing.com/news/stock-market-news/hyundai-motor-america-to-recall-nearly-67000-vehicles-in-the-us-nhtsa-says-3524441," (Reuters) - Hyundai Motor (OTC:HYMTF) America is recalling nearly 67,000 vehicles in the U.S., the U.S. National Highway Traffic Safety Administration said on Thursday. The...",Reuters,2024-07-18 16:23:23,1_1721325613522_801.txt,[]
14,"Stocks lower after giving up early gains, ECB leaves rate outlook open",https://www.investing.com/news/economy-news/asian-stocks-slide-on-rising-trade-tensions-yen-climbs-3524137, By Isla Binnie NEW YORK (Reuters) -Wall Street was slightly lower on Thursday in choppy trading after mostly giving up early gains driven by strong demand from the world's largest...,Reuters,2024-07-18 16:23:01,1_1721325614026_692.txt,[]
15,FTSE indexes supported by positive corporate update,https://www.investing.com/news/economy-news/ftse-100-advances-as-more-earnings-roll-in-uk-wage-growth-slows-3524299," By Purvi Agarwal and Roshan Abraham (Reuters) -British stocks rose on Thursday after a slew of positive corporate updates, while data showed UK wage growth slowed but not enough...",Reuters,2024-07-18 16:16:29,1_1721325614770_554.txt,[]
16,European shares end marginally lower as tech sell-off stymies advances,https://www.investing.com/news/economy-news/european-shares-open-higher-ecb-rate-verdict-on-tap-3524293," By Shristi Achar A, Pranav Kashyap and Shashwat Chauhan (Reuters) -European shares ended lower on Thursday as a continued selloff of chip stocks kept a lid on gains brought on by...",Reuters,2024-07-18 16:13:03,1_1721325615387_651.txt,[]
17,OpenAI unveils cheaper small AI model GPT-4o mini,https://www.investing.com/news/stock-market-news/openai-unveils-cheaper-small-ai-model-gpt4o-mini-3525320," (Reuters) -ChatGPT maker OpenAI said on Thursday it was launching GPT-4o mini, a cost-efficient small AI model, aimed at making its technology more affordable and less...",Reuters,2024-07-18 16:12:46,1_1721325615994_766.txt,[]
18,Solar-power projects in Puerto Rico get $861-million US loan guarantee,https://www.investing.com/news/stock-market-news/solarpower-projects-in-puerto-rico-get-861million-us-loan-guarantee-3525318, By Timothy Gardner WASHINGTON (Reuters) - The U.S. Energy Department said on Thursday it is offering a conditional loan guarantee of up to $861 million for two utility-scale...,Reuters,2024-07-18 16:11:24,1_1721325616475_26.txt,[]
19,"TWFG Opens At $22, IPO Priced At $17",https://www.investing.com/news/stock-market-news/twfg-opens-at-22-ipo-priced-at-17-432SI-3525499,"TWFG (TWFG) Opens At $22, IPO Priced At $17",Investing.com,2024-07-18 16:10:08,1_1721325617170_656.txt,[]
20,"Apple in talks to license more Hollywood films, Bloomberg News reports",https://www.investing.com/news/stock-market-news/apple-in-talks-to-license-more-hollywood-films-bloomberg-news-reports-3525236," (Reuters) -Apple is in talks to license more films from Hollywood studios to boost its streaming portfolio, Bloomberg News reported on Thursday, citing people familiar with the...",Reuters,2024-07-18 16:02:20,1_1721325617671_757.txt,[]
21,"Midday movers: DR Horton, Kinder Morgan rise ; Domino's Pizza, Beyond Meat fall",https://www.investing.com/news/stock-market-news/tsmc-and-netflix-rise-premarket-dominos-pizza-beyond-meat-fall-3524793,"(Updated - July 18, 2024 11:59 AM EDT) Investing.com -- U.S. stock futures fell Thursday, with tech stocks faltering again after the previous season’s rout, as top Democrats...",Investing.com,2024-07-18 16:02:03,1_1721325618166_551.txt,[]
22,"US mine development timeline second-longest in world, S&P Global says",https://www.investing.com/news/stock-market-news/us-mine-development-timeline-secondlongest-in-world-sp-global-says-3524709," By Ernest Scheyder (Reuters) - It takes an average of nearly 29 years to build a new mine in the U.S., the second-longest in the world behind only Zambia, hampering Washington's...",Reuters,2024-07-18 15:56:41,1_1721325618768_443.txt,[]
23,Google brings AI to US broadcast of Paris Olympics,https://www.investing.com/news/stock-market-news/google-brings-ai-to-us-broadcast-of-paris-olympics-3525463," By Sheila Dang (Reuters) - Alphabet (NASDAQ:GOOGL)'s Google will infuse artificial intelligence into the U.S. broadcast of the Paris Olympics, allowing sports commentators to use...",Reuters,2024-07-18 15:56:22,1_1721325619347_54.txt,[]
24,LATAM Airlines readies NYSE listing at $8.5 billion potential valuation,https://www.investing.com/news/stock-market-news/latam-airlines-readies-nyse-listing-at-85-billion-potential-valuation-3525450," (Reuters) - LATAM Airlines (OTC:LTMAY) is preparing to list its shares on the New York Stock Exchange in a move that could fetch it a valuation of $8.5 billion, the company said...",Reuters,2024-07-18 15:50:47,1_1721325619922_562.txt,[]
25,Biden says he would drop out of presidential race if diagnosed with medical condition - Axios,https://www.investing.com/news/stock-market-news/biden-says-he-would-drop-out-of-presidential-race-if-diagnosed-with-medical-condition--axios-432SI-3525394,"U.S. President Biden mentioned in a recent interview that he would consider withdrawing from the 2024 presidential race if diagnosed with a ""medical condition"" by a doctor,...",Investing.com,2024-07-18 15:31:03,1_1721325620928_193.txt,[]
26,Proxy advisor Glass Lewis advises Enhabit investors to elect three AREX nominees,https://www.investing.com/news/stock-market-news/proxy-advisor-glass-lewis-advises-enhabit-investors-to-elect-three-arex-nominees-3525042, By Svea Herbst-Bayliss (Reuters) - Proxy advisory firm Glass Lewis said on Thursday Enhabit shareholders should elect three AREX Capital Management director candidates to the...,Reuters,2024-07-18 15:11:30,1_1721325621660_25.txt,[]
27,"Meta in talks to buy 5% stake in Ray-Ban maker EssilorLuxottica, WSJ reports",https://www.investing.com/news/stock-market-news/meta-explores-stake-in-rayban-maker-essilorluxottica-ft-reports-3524941," (Reuters) -Meta Platforms is in talks to acquire a stake of about 5% in EssilorLuxottica, its production partner for Ray-Ban smart glasses, the Wall Street Journal reported on...",Reuters,2024-07-18 14:55:55,1_1721325622428_81.txt,[]
28,Citi sees further S&P 500 upside during 2H24,https://www.investing.com/news/stock-market-news/citi-sees-further-sp-500-upside-during-2h24-3524838,"Citi analysts project continued gains for the S&P 500 during the second half of 2024, albeit at a slower pace compared to the first half. This optimistic outlook comes despite...",Investing.com,2024-07-18 14:51:10,1_1721325623418_751.txt,[]
29,Amazon Prime Day sales up 11%,https://www.investing.com/news/stock-market-news/amazon-prime-day-sales-up-11-432SI-3525264,"During Amazon's (NASDAQ:AMZN) 48-hour Prime Day sale, US shoppers spent $14.2 billion online, an 11% increase from last year, in line with estimates, according to Adobe...",Investing.com,2024-07-18 14:48:03,1_1721325624069_21.txt,[]
30,Abbott raises profit forecast on strong medical device sales,https://www.investing.com/news/stock-market-news/abbott-raises-annual-profit-forecast-as-strong-medical-device-sales-power-quarterly-beat-3524822, By Leroy Leo and Puyaan Singh (Reuters) -Abbott Laboratories raised its annual profit forecast on Thursday after its second-quarter earnings edged past Wall Street estimates on...,Reuters,2024-07-18 14:21:29,1_1721325624952_543.txt,[]
31,UK union files legal challenge against Amazon over warehouse vote,https://www.investing.com/news/stock-market-news/uk-union-files-legal-challenge-against-amazon-over-warehouse-vote-3525178," By Martin Coulter LONDON (Reuters) - A British union has filed a legal challenge against Amazon (NASDAQ:AMZN), accusing the U.S. ecommerce giant of inappropriately influencing...",Reuters,2024-07-18 14:21:10,1_1721325625613_576.txt,[]
32,"Google stock likely to grind higher from here, rather than jumping: Jefferies",https://www.investing.com/news/stock-market-news/google-stock-likely-to-grind-higher-from-here-rather-than-jumping-jefferies-432SI-3525177,"Google parent company Alphabet (GOOGL) is expected to see its stock ""grinding higher than jumping from here,"" according to Jefferies analysts. Despite a strong year-to-date...",Investing.com,2024-07-18 14:11:03,1_1721325626426_945.txt,[]
33,Amazon’s 2024 Prime Day shatters records with over 200 million items sold,https://www.investing.com/news/stock-market-news/amazons-2024-prime-day-shatters-records-with-over-200-million-items-sold-432SI-3525176,"Amazon.com (NASDAQ NASDAQ:AMZN) announced that its latest Prime Day was the biggest shopping event in the company's history, setting new records for sales and volumes. “Prime...",Investing.com,2024-07-18 14:10:03,1_1721325627365_463.txt,[]
34,Warner Bros Discovery considering break up: FT,https://www.investing.com/news/stock-market-news/warner-bros-discovery-considering-break-up-ft-432SI-3525139,"According to a report by the Financial Times on Thursday, Warner Bros. Discovery (NASDAQ:WBD) is considering a plan to break up its digital streaming and studio businesses from its...",Investing.com,2024-07-18 13:56:01,1_1721325627927_926.txt,[]
